2025-09-04 14:10:49 | ERROR    | app.services.gemini.gemini_service:_make_gemini_request:49 | Erro na API Gemini (503): {
  "error": {
    "code": 503,
    "message": "The model is overloaded. Please try again later.",
    "status": "UNAVAILABLE"
  }
}

2025-09-04 14:10:49 | ERROR    | app.services.gemini.gemini_service:_make_gemini_request:68 | Erro na requisição Gemini: Gemini API error: 503
2025-09-04 14:10:49 | ERROR    | app.services.gemini.gemini_service:generate_response:179 | Erro ao gerar resposta com Gemini: Gemini API error: 503
2025-09-04 14:10:49 | INFO     | app.services.rag.rag_service:process_query:73 | Query processada com sucesso
2025-09-04 14:10:49 | INFO     | app.api.chat:chat_with_ai:67 | Resposta do chat gerada com sucesso
2025-09-04 14:10:51 | ERROR    | app.services.gemini.gemini_service:_make_gemini_request:49 | Erro na API Gemini (503): {
  "error": {
    "code": 503,
    "message": "The model is overloaded. Please try again later.",
    "status": "UNAVAILABLE"
  }
}

2025-09-04 14:10:51 | ERROR    | app.services.gemini.gemini_service:_make_gemini_request:68 | Erro na requisição Gemini: Gemini API error: 503
2025-09-04 14:10:51 | ERROR    | app.services.gemini.gemini_service:generate_response:179 | Erro ao gerar resposta com Gemini: Gemini API error: 503
2025-09-04 14:10:51 | INFO     | app.services.rag.rag_service:process_query:73 | Query processada com sucesso
2025-09-04 14:10:51 | INFO     | app.api.chat:chat_with_ai:67 | Resposta do chat gerada com sucesso
2025-09-04 14:10:59 | INFO     | app.services.gemini.gemini_service:generate_response:175 | Resposta gerada com sucesso
2025-09-04 14:10:59 | INFO     | app.services.rag.rag_service:process_query:73 | Query processada com sucesso
2025-09-04 14:10:59 | INFO     | app.api.chat:chat_with_ai:67 | Resposta do chat gerada com sucesso
2025-09-04 14:11:06 | INFO     | app.api.insights:get_automatic_insights:30 | Gerando insights automáticos...
2025-09-04 14:11:06 | INFO     | app.api.chat:chat_with_ai:38 | Recebida mensagem de chat: Liste os principais riscos e previsões de problemas na infraestrutura nos próximos dias...
2025-09-04 14:11:06 | INFO     | app.services.rag.rag_service:process_query:33 | Processando query: Liste os principais riscos e previsões de problemas na infraestrutura nos próximos dias...
2025-09-04 14:11:06 | INFO     | app.api.chat:chat_with_ai:38 | Recebida mensagem de chat: Liste os principais riscos e previsões de problemas na infraestrutura nos próximos dias...
2025-09-04 14:11:06 | INFO     | app.services.rag.rag_service:process_query:33 | Processando query: Liste os principais riscos e previsões de problemas na infraestrutura nos próximos dias...
2025-09-04 14:11:07 | INFO     | app.services.rag.rag_service:generate_automatic_insights:118 | Gerando insights automáticos...
2025-09-04 14:11:07 | INFO     | app.services.rag.rag_service:generate_automatic_insights:202 | Gerados 2 insights automáticos
2025-09-04 14:11:07 | INFO     | app.api.insights:get_automatic_insights:50 | Retornando 2 insights automáticos
2025-09-04 14:11:07 | INFO     | app.services.gemini.gemini_service:generate_response:148 | Gerando resposta para query: Liste os principais riscos e previsões de problemas na infraestrutura nos próximos dias...
